id;employeeid;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;62962;Nayeli;O'Hara;Immanuel75@yahoo.com;repurpose modular;2020-01-23T23:03:06;12617;25834
2;71697;Jack;Crist;Betsy36@yahoo.com;Tuna;2020-01-23T21:49:22;57012;9385
3;75289;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-01-23T20:12:28;90233;71649
4;71090;Macy;Medhurst;Rosario.Barrows@gmail.com;Isle indigo;2020-01-23T22:46:28;15436;7230
5;90426;Julio;Senger;Emmanuelle52@yahoo.com;Granite;2020-01-23T12:24:47;94809;56135
6;12636;Jensen;Kiehn;Brian11@gmail.com;open-source;2020-01-23T08:43:13;18581;73893
7;65341;Kaela;Kihn;Erwin_Will64@yahoo.com;Decentralized;2020-01-23T17:11:55;54567;95498
8;15970;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-01-23T08:41:16;43151;12407
9;28841;Abelardo;Borer;Louie_Lang24@yahoo.com;Small Concrete Chicken;2020-01-23T11:30:52;69929;43322
10;16398;Peter;Nienow;Cedrick18@hotmail.com;Forward Shoes;2020-01-24T03:13:28;13308;21874
